2023-05-20 12:28:38.925[1684565918925] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:28:40.418[1684565920418] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:28:40.902[1684565920902] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684565920886&signature=986793d76964ebe52fa5a8e7cb5996b8c264042c3064882cd38f8c225b67a55b
2023-05-20 12:30:08.871[1684566008871] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:30:10.827[1684566010827] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:30:11.346[1684566011346] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684566011340&signature=660e83d479f7c406a81bbf9538e28b155a336a9e5e9aa26bf4e849ce056a1214
2023-05-20 12:30:58.941[1684566058941] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:31:00.612[1684566060612] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:31:01.068[1684566061068] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684566061062&signature=61c0b93b6bbdc710424c1c97bdc5b267ace1e6137935e4a7bfe251d18c9c67e4
2023-05-20 12:38:55.787[1684566535787] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:38:58.090[1684566538090] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:38:58.562[1684566538562] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684566538562&signature=2ed3d81a6310b5c0242f6bbefa953bfda56872078404eaeaf3e90b636c1c1c51
2023-05-20 12:39:23.127[1684566563127] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:39:24.621[1684566564621] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:39:25.099[1684566565099] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684566565094&signature=75b8ddb57fd1f9860a9d8161d0d72adc2b2319e16383a0c1960b3435d7870ae2
2023-05-20 12:41:35.217[1684566695217] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:41:37.481[1684566697481] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:41:37.936[1684566697936] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684566697931&signature=81ce037eac7a83cbc7f7f171213db2308ef4a69d7a52c9c2d158de2e00d53184
2023-05-20 12:41:53.785[1684566713785] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:41:55.411[1684566715411] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:41:55.894[1684566715894] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684566715882&signature=73b96e5a5edd14413ffe0d04dd8bed98d1dc2d1237094873ff13e44e9362aca7
2023-05-20 12:46:39.345[1684566999345] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:46:41.324[1684567001324] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:46:41.784[1684567001784] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684567001777&signature=3ad12d9a6ad7582b8bdf1ecdd809b761d198b046677c9fd56b0da777bf72fca7
2023-05-20 12:47:53.997[1684567073997] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:47:55.840[1684567075840] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:47:56.350[1684567076350] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684567076343&signature=b673fb56f05d6a491fefe56b1c35447f0b0cb1b1eec31be92e3ab789cb372116
